vehicle_id,timestamp,engine_rpm,engine_load_pct,exhaust_temp_c,exhaust_flow_rate_kg_h,diff_pressure_kpa,vehicle_speed_kmh,ambient_temp_c,active_regen_status,soot_load_ground_truth
1001,2026-01-05 19:41:42.645080,1053,36.49,280.7,76.86,0.278,53.7,27.7,0,3.93
1001,2026-01-05 19:46:42.645080,1007,33.01,173.5,66.51,0.186,33.6,22.2,0,4.09
1001,2026-01-05 19:51:42.645080,897,44.71,193.5,80.26,0.42,16.4,23.9,0,4.32
1001,2026-01-05 19:56:42.645080,1113,18.63,254.4,41.49,0.125,21.8,26.9,0,4.41
1001,2026-01-05 20:01:42.645080,979,35.62,324.1,69.82,0.306,21.0,19.7,0,4.4
1001,2026-01-05 20:06:42.645080,1264,21.69,171.6,54.85,0.181,33.1,26.0,0,4.5
1001,2026-01-05 20:11:42.645080,1247,42.57,238.0,106.23,0.427,28.3,21.4,0,4.72
1001,2026-01-05 20:16:42.645080,1007,55.86,179.5,112.59,0.579,35.2,23.1,0,5.0
1001,2026-01-05 20:21:42.645080,964,49.18,287.3,94.87,0.455,45.5,23.5,0,5.24
1001,2026-01-05 20:26:42.645080,1166,54.63,242.6,127.43,0.647,22.8,19.0,0,5.51
1001,2026-01-05 20:31:42.645080,1262,60.34,290.1,152.37,0.904,28.9,21.8,0,5.82
1001,2026-01-05 20:36:42.645080,1172,63.07,312.6,147.87,0.776,29.5,29.1,0,6.13
1001,2026-01-05 20:41:42.645080,1117,35.51,170.5,79.37,0.49,31.4,26.8,0,6.31
1001,2026-01-05 20:46:42.645080,1395,32.23,229.9,89.95,0.628,17.9,26.6,0,6.47
1001,2026-01-05 20:51:42.645080,994,47.7,288.7,94.83,0.601,31.5,23.4,0,6.71
1001,2026-01-05 20:56:42.645080,1021,18.05,260.4,36.87,0.251,34.4,23.8,0,6.8
1001,2026-01-05 21:01:42.645080,816,33.69,217.9,55.04,0.375,24.9,27.0,0,6.97
1001,2026-01-05 21:06:42.645080,1477,42.62,247.0,125.92,0.808,33.9,24.9,0,7.18
1001,2026-01-05 21:11:42.645080,1112,76.95,262.1,171.14,1.293,27.1,19.2,0,7.57
1001,2026-01-05 21:16:42.645080,1328,51.28,213.6,136.25,1.136,41.9,18.0,0,7.82
1001,2026-01-05 21:21:42.645080,1217,72.86,227.3,177.39,1.457,15.1,22.5,0,8.19
1001,2026-01-05 21:26:42.645080,789,41.03,268.9,64.81,0.498,14.1,32.7,0,8.39
1001,2026-01-05 21:31:42.645080,943,35.17,200.8,66.35,0.58,42.2,31.5,0,8.57
1001,2026-01-05 21:36:42.645080,778,42.77,281.3,66.59,0.523,33.9,18.4,0,8.78
1001,2026-01-05 21:41:42.645080,1204,44.45,263.9,107.08,0.93,33.8,26.2,0,9.0
1001,2026-01-05 21:46:42.645080,1158,29.28,269.0,67.86,0.561,58.0,28.3,0,9.15
1001,2026-01-05 21:51:42.645080,905,51.81,217.2,93.78,0.93,47.4,27.1,0,9.41
1001,2026-01-05 21:56:42.645080,1264,68.45,219.9,173.1,1.643,26.3,20.9,0,9.75
1001,2026-01-05 22:01:42.645080,1084,45.12,283.1,97.87,0.977,34.2,32.3,0,9.98
1001,2026-01-05 22:06:42.645080,1047,80.8,215.7,169.21,1.703,39.4,27.4,0,10.38
1001,2026-01-05 22:11:42.645080,1055,50.71,247.1,107.03,1.096,37.1,17.4,0,10.63
1001,2026-01-05 22:16:42.645080,1010,52.85,200.2,106.82,1.173,33.2,26.9,0,10.9
1001,2026-01-05 22:21:42.645080,923,42.31,204.3,78.12,0.886,30.9,27.8,0,11.11
1001,2026-01-05 22:26:42.645080,1316,55.81,212.5,146.95,1.699,9.3,27.6,0,11.39
1001,2026-01-05 22:31:42.645080,1203,97.79,295.4,235.29,2.842,38.6,28.3,0,11.88
1001,2026-01-05 22:36:42.645080,1036,51.38,240.5,106.57,1.269,18.4,25.4,0,12.13
1001,2026-01-05 22:41:42.645080,1562,11.99,185.5,37.48,0.433,40.3,30.4,0,12.19
1001,2026-01-05 22:46:42.645080,1112,23.83,277.2,53.05,0.617,19.3,26.1,0,12.31
1001,2026-01-05 22:51:42.645080,1109,30.23,275.4,67.05,0.734,62.2,25.9,0,12.47
1001,2026-01-05 22:56:42.645080,967,52.79,245.4,102.16,1.326,18.1,29.3,0,12.73
1001,2026-01-05 23:01:42.645080,859,34.98,223.9,60.17,0.865,22.9,27.0,0,12.9
1001,2026-01-05 23:06:42.645080,847,53.77,291.3,91.17,1.125,61.8,22.6,0,13.17
1001,2026-01-05 23:11:42.645080,1353,29.38,281.0,79.54,1.013,36.7,24.7,0,13.32
1001,2026-01-05 23:16:42.645080,451,24.63,200.1,22.26,0.381,26.2,17.8,0,13.44
1001,2026-01-05 23:21:42.645080,1011,41.96,192.6,84.93,1.218,51.6,25.1,0,13.65
1001,2026-01-05 23:26:42.645080,903,46.93,226.0,84.82,1.181,33.0,23.1,0,13.89
1001,2026-01-05 23:31:42.645080,1122,49.93,200.5,112.12,1.692,53.8,15.2,0,14.14
1001,2026-01-05 23:36:42.645080,1069,48.82,225.1,104.45,1.492,34.2,22.5,0,14.38
1001,2026-01-05 23:41:42.645080,982,52.74,222.3,103.6,1.562,35.4,26.5,0,14.64
1001,2026-01-05 23:46:42.645080,1262,49.44,227.6,124.85,1.897,17.6,28.1,0,14.89
1001,2026-01-05 23:51:42.645080,1095,41.76,226.3,91.52,1.409,49.2,24.0,0,15.1
1001,2026-01-05 23:56:42.645080,1056,56.48,282.5,119.34,1.901,42.4,25.1,0,15.38
1001,2026-01-06 00:01:42.645080,1236,35.35,244.8,87.4,1.365,34.9,28.0,0,15.56
1001,2026-01-06 00:06:42.645080,936,71.39,201.4,133.69,2.186,14.9,29.0,0,15.92
1001,2026-01-06 00:11:42.645080,1224,49.43,214.1,121.07,1.961,29.8,21.6,0,16.16
1001,2026-01-06 00:16:42.645080,1295,37.79,237.1,97.89,1.621,17.6,22.2,0,16.35
1001,2026-01-06 00:21:42.645080,935,43.66,229.7,81.68,1.33,33.7,26.2,0,16.57
1001,2026-01-06 00:26:42.645080,810,18.89,241.5,30.61,0.526,19.2,32.4,0,16.67
